team,champion_prob,final_prob,semifinal_prob,quarterfinal_prob,r16_prob,qualified_prob
Spain,17.8,25.8,39.2,55.6,77.7,97.7
Brazil,14.2,22.2,33.9,58.5,75.6,94.3
France,13.6,21.9,35.7,46.9,66.0,95.5
Argentina,12.6,20.3,32.8,43.9,62.0,97.0
Germany,8.8,15.7,24.8,36.7,61.6,96.7
England,6.0,10.8,20.9,32.4,61.1,95.5
Portugal,4.9,10.1,18.4,28.8,55.4,91.9
Netherlands,3.7,8.9,15.9,27.8,54.9,91.7
Uruguay,2.1,5.3,12.6,23.9,48.5,79.7
Mexico,2.0,4.1,12.8,35.9,69.7,96.2
Colombia,1.9,5.2,12.1,22.5,45.6,83.0
Japan,1.7,6.4,12.8,24.4,48.0,89.6
Belgium,1.6,6.0,12.2,22.9,43.9,94.2
Morocco,1.5,5.1,14.1,37.7,61.5,86.9
Croatia,1.5,5.2,11.6,22.8,47.7,88.4
Canada,1.0,2.6,6.8,19.8,44.1,90.7
Senegal,0.9,2.7,8.7,17.3,37.0,68.9
South Korea,0.9,2.1,7.1,25.7,56.4,90.5
Algeria,0.5,1.5,5.1,12.6,29.8,70.6
Switzerland,0.5,1.4,5.0,20.6,43.2,89.2
Ecuador,0.4,3.2,9.5,23.9,46.2,81.7
Turkey,0.4,1.1,4.1,13.6,30.4,76.5
Austria,0.3,1.5,5.1,11.8,27.3,66.8
Australia,0.2,1.5,4.4,14.8,30.0,73.6
Norway,0.2,1.3,4.2,11.6,27.5,58.0
Egypt,0.2,1.0,3.1,8.9,25.2,63.9
Iran,0.2,1.4,5.3,13.4,34.6,80.2
Panama,0.1,0.5,1.5,4.4,16.1,45.4
Ivory Coast,0.1,0.8,2.1,8.3,25.8,68.6
Scotland,0.1,0.3,1.7,7.2,21.3,48.3
Saudi Arabia,0.1,0.4,1.2,4.1,14.7,44.0
Paraguay,0.0,0.8,2.3,9.6,22.6,69.0
Tunisia,0.0,0.4,1.4,5.2,12.8,38.5
Czechia,0.0,0.0,0.0,0.3,4.2,23.1
USA,0.0,0.2,1.1,4.4,15.8,55.5
New Zealand,0.0,0.1,0.5,1.7,5.9,23.5
Haiti,0.0,0.2,0.4,2.7,11.8,38.3
Iraq,0.0,0.6,1.7,5.5,16.1,43.2
Qatar,0.0,0.0,0.3,2.6,10.1,44.2
DR Congo,0.0,0.2,0.6,4.0,16.2,47.7
Sweden,0.0,0.3,1.3,4.4,15.2,44.4
South Africa,0.0,0.1,0.9,3.4,18.0,60.9
Curacao,0.0,0.0,0.0,0.6,3.4,19.0
Jordan,0.0,0.1,0.8,3.3,9.9,33.4
Bosnia and Herzegovina,0.0,0.0,0.2,2.1,10.2,44.8
Cape Verde,0.0,0.1,0.8,2.7,10.8,39.9
Ghana,0.0,0.1,0.6,2.4,9.9,34.3
Uzbekistan,0.0,0.5,2.4,6.4,18.3,45.1
